timestamp,latitude,longitude,elevation,speed
2025-10-01 07:30:00,30.5728,104.0668,500,0
2025-10-01 07:35:00,30.5730,104.0670,502,15
2025-10-01 07:45:00,30.6000,104.0000,520,45
2025-10-01 08:00:00,30.6500,103.8500,550,65
2025-10-01 08:30:00,30.8000,103.5000,620,75
2025-10-01 09:00:00,30.9200,103.2000,780,70
2025-10-01 09:30:00,31.0000,103.0000,1200,60
2025-10-01 09:50:00,31.0500,102.9400,1800,50
2025-10-01 10:05:00,31.0800,102.9100,2600,35
2025-10-01 10:15:00,31.1000,102.9000,3100,0
2025-10-01 10:20:00,31.1000,102.9000,3100,0
2025-10-01 10:40:00,31.1000,102.9000,3100,0
2025-10-01 11:00:00,31.1000,102.9000,3100,0
2025-10-01 11:30:00,31.1000,102.9000,3100,0
2025-10-01 11:45:00,31.0980,102.9050,3080,0
2025-10-01 12:00:00,31.0950,102.9150,3050,0
2025-10-01 12:30:00,31.0950,102.9150,3050,0
2025-10-01 13:00:00,31.0950,102.9150,3050,0
2025-10-01 13:10:00,31.0800,102.9300,3000,25
2025-10-01 13:30:00,31.0200,102.9800,2900,45
2025-10-01 14:00:00,30.9600,103.0000,2700,55
2025-10-01 14:30:00,30.9200,102.7000,2500,60
2025-10-01 15:00:00,30.8900,102.4000,2200,65
2025-10-01 15:15:00,30.8800,102.2200,2100,0
2025-10-01 15:30:00,30.8800,102.2200,2100,0
2025-10-01 16:00:00,30.8800,102.2200,2100,0
2025-10-01 16:10:00,30.8700,102.1500,2050,35
2025-10-01 16:40:00,30.8500,101.9800,2000,45
2025-10-01 17:00:00,30.8500,101.9300,1980,0
2025-10-01 17:30:00,30.8500,101.9300,1980,0
2025-10-01 18:00:00,30.8500,101.9300,1980,0
2025-10-01 19:00:00,30.8500,101.9300,1980,0
2025-10-01 19:30:00,30.8500,101.9300,1980,0
2025-10-02 08:00:00,30.8500,101.9300,1980,0
2025-10-02 08:15:00,30.8500,101.9300,1980,12
2025-10-02 08:45:00,30.7800,101.8800,2200,40
2025-10-02 09:15:00,30.6000,101.7500,2600,55
2025-10-02 09:30:00,30.5000,101.6800,3000,50
2025-10-02 09:45:00,30.4000,101.6200,3400,45
2025-10-02 10:00:00,30.2800,101.5500,3800,40
2025-10-02 10:20:00,30.1500,101.5100,4100,35
2025-10-02 10:35:00,30.0900,101.5000,4250,20
2025-10-02 10:42:00,30.0700,101.4950,4290,5
2025-10-02 10:50:00,30.0600,101.4930,4298,0
2025-10-02 11:00:00,30.0600,101.4930,4298,0
2025-10-02 11:20:00,30.0600,101.4930,4298,0
2025-10-02 11:30:00,30.0550,101.4900,4280,18
2025-10-02 11:45:00,30.0500,101.4900,4200,0
2025-10-02 12:15:00,30.0500,101.4900,4200,0
2025-10-02 12:45:00,30.0500,101.4900,4200,0
2025-10-02 13:15:00,30.0500,101.4900,4200,0
2025-10-02 13:30:00,30.0520,101.4800,4000,30
2025-10-02 14:00:00,30.0550,101.4000,3600,50
2025-10-02 14:30:00,30.0570,101.9610,2560,65
2025-10-02 15:00:00,30.0580,101.9610,2560,0
2025-10-02 15:30:00,30.0580,101.9610,2560,0
2025-10-02 16:00:00,30.0580,101.9610,2560,0
2025-10-02 16:30:00,30.0580,101.9610,2560,0
2025-10-02 17:00:00,30.0580,101.9610,2560,0
2025-10-02 18:00:00,30.0580,101.9610,2560,0
2025-10-02 19:00:00,30.0580,101.9610,2560,0
2025-10-03 07:45:00,30.0580,101.9610,2560,0
2025-10-03 08:00:00,30.0580,101.9610,2560,25
2025-10-03 08:30:00,30.0500,102.1000,2300,55
2025-10-03 09:00:00,30.0000,102.4000,1500,75
2025-10-03 09:30:00,30.1000,102.8000,900,80
2025-10-03 09:45:00,30.1500,102.9500,800,70
2025-10-03 10:00:00,30.2000,103.1000,700,75
2025-10-03 10:30:00,30.3500,103.4000,600,78
2025-10-03 11:00:00,30.4500,103.6000,550,80
2025-10-03 11:30:00,30.5000,103.8000,530,0
2025-10-03 12:00:00,30.5000,103.8000,530,0
2025-10-03 12:30:00,30.5000,103.8000,530,0
2025-10-03 13:00:00,30.5000,103.8000,530,0
2025-10-03 13:10:00,30.5100,103.8300,525,40
2025-10-03 13:40:00,30.5400,103.9200,515,60
2025-10-03 14:10:00,30.5700,104.0500,505,70
2025-10-03 14:20:00,30.5728,104.0668,500,0
